127.0.0.1 - - [31/May/2015:23:15:40 -0500] "GET / HTTP/1.1" 404 961
127.0.0.1 - - [31/May/2015:23:15:48 -0500] "GET /webDashboards/Recibo HTTP/1.1" 200 4504
127.0.0.1 - - [31/May/2015:23:15:48 -0500] "GET /webDashboards/img/available-off.png HTTP/1.1" 200 2148
127.0.0.1 - - [31/May/2015:23:15:48 -0500] "GET /webDashboards/img/receiving-on.png HTTP/1.1" 200 2298
127.0.0.1 - - [31/May/2015:23:15:51 -0500] "GET /webDashboards/pieChart?recibido=100.0&recibir=0.0 HTTP/1.1" 200 8714
127.0.0.1 - - [31/May/2015:23:15:51 -0500] "GET /webDashboards/pieChart?recibido=1.0&recibir=99.0 HTTP/1.1" 200 9153
127.0.0.1 - - [31/May/2015:23:15:51 -0500] "GET /webDashboards/img/received-on.png HTTP/1.1" 200 2287
127.0.0.1 - - [31/May/2015:23:16:13 -0500] "GET /webDashboards/Recibo HTTP/1.1" 200 4504
127.0.0.1 - - [31/May/2015:23:16:13 -0500] "GET /webDashboards/pieChart?recibido=1.0&recibir=99.0 HTTP/1.1" 200 9153
127.0.0.1 - - [31/May/2015:23:16:13 -0500] "GET /webDashboards/pieChart?recibido=100.0&recibir=0.0 HTTP/1.1" 200 8714
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/Recibo HTTP/1.1" 200 4504
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/img/available-off.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/img/receiving-on.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/img/received-off.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/pieChart?recibido=1.0&recibir=99.0 HTTP/1.1" 200 9153
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/img/receiving-off.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/img/received-on.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:17:15 -0500] "GET /webDashboards/pieChart?recibido=100.0&recibir=0.0 HTTP/1.1" 200 8714
127.0.0.1 - - [31/May/2015:23:18:16 -0500] "GET /webDashboards/Recibo HTTP/1.1" 200 4504
127.0.0.1 - - [31/May/2015:23:18:16 -0500] "GET /webDashboards/img/available-off.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:18:16 -0500] "GET /webDashboards/img/receiving-on.png HTTP/1.1" 304 -
127.0.0.1 - - [31/May/2015:23:18:16 -0500] "GET /webDashboards/img/received-off.png HTTP/1.1" 304 -
